# Elements 1e+06
[00000.171 ms] [1.644725] multiplySeq
[00000.078 ms] [1.644725] multiplyOpenmp [8 threads; schedule auto 4096]
[00000.078 ms] [1.644725] multiplyOpenmp [8 threads; schedule auto 8192]
[00000.079 ms] [1.644725] multiplyOpenmp [8 threads; schedule auto 16384]
[00000.076 ms] [1.644725] multiplyOpenmp [8 threads; schedule auto 32768]
[00000.079 ms] [1.644725] multiplyOpenmp [8 threads; schedule auto 65536]
[00000.150 ms] [1.644725] multiplyOpenmp [16 threads; schedule static 64]
[00000.063 ms] [1.644725] multiplyOpenmp [16 threads; schedule static 128]
[00000.063 ms] [1.644725] multiplyOpenmp [16 threads; schedule static 256]
[00000.062 ms] [1.644725] multiplyOpenmp [16 threads; schedule static 512]
[00000.045 ms] [1.644725] multiplyOpenmp [16 threads; schedule static 1024]
[00000.045 ms] [1.644725] multiplyOpenmp [16 threads; schedule static 2048]
[00000.045 ms] [1.644725] multiplyOpenmp [16 threads; schedule static 4096]
[00000.045 ms] [1.644725] multiplyOpenmp [16 threads; schedule static 8192]
[00000.045 ms] [1.644725] multiplyOpenmp [16 threads; schedule static 16384]
[00000.045 ms] [1.644725] multiplyOpenmp [16 threads; schedule static 32768]
[00000.038 ms] [1.644725] multiplyOpenmp [16 threads; schedule static 65536]
[00000.036 ms] [1.644725] multiplyOpenmp [16 threads; schedule dynamic 64]
[00000.038 ms] [1.644725] multiplyOpenmp [16 threads; schedule dynamic 128]
[00000.037 ms] [1.644725] multiplyOpenmp [16 threads; schedule dynamic 256]
[00000.035 ms] [1.644725] multiplyOpenmp [16 threads; schedule dynamic 512]
[00000.035 ms] [1.644725] multiplyOpenmp [16 threads; schedule dynamic 1024]
[00000.036 ms] [1.644725] multiplyOpenmp [16 threads; schedule dynamic 2048]
[00000.038 ms] [1.644725] multiplyOpenmp [16 threads; schedule dynamic 4096]
[00000.037 ms] [1.644725] multiplyOpenmp [16 threads; schedule dynamic 8192]
[00000.034 ms] [1.644725] multiplyOpenmp [16 threads; schedule dynamic 16384]
